sample_id,sample_year,site_id,sample_hitch,sample_type,rep,area_cm2,vol_filtered_ml,dry_mass_g,ash_mass_g
afdm_229,2016,SW03,H2,fbom,1,NA,50,0.154,0.1373
afdm_231,2016,SW04,H2,fbom,1,NA,50,0.1206,0.0879
afdm_233,2016,LR00,H3,fbom,1,NA,50,0.1073,0.0944
afdm_235,2016,LR02,H3,fbom,1,NA,50,0.1428,0.1283
afdm_237,2016,LR03,H3,fbom,1,NA,50,0.186,0.1703
afdm_239,2016,LR04,H3,fbom,1,NA,50,0.1348,0.0913
afdm_241,2016,LR05,H3,fbom,1,NA,50,0.1447,0.0964
afdm_243,2016,LR06,H3,fbom,1,NA,50,0.102,0.0442
afdm_245,2016,LR07,H3,fbom,1,NA,50,0.1709,0.1289
afdm_247,2016,LR08,H3,fbom,1,NA,50,0.1334,0.0602
afdm_248,2017,LR08,H3,fbom,2,NA,50,0.171,0.1089
afdm_249,2016,MB01,H3,fbom,1,NA,50,0.1402,0.13
afdm_251,2016,MB02,H3,fbom,1,NA,50,0.1418,0.1269
afdm_253,2016,MB03,H3,fbom,1,NA,50,0.145,0.1163
afdm_255,2016,MB04,H3,fbom,1,NA,50,0.1001,0.0659
afdm_257,2016,SW01,H3,fbom,1,NA,50,0.1089,0.0945
afdm_259,2016,SW02,H3,fbom,1,NA,50,0.1885,0.178
afdm_261,2016,SW03,H3,fbom,1,NA,50,0.1329,0.1103
afdm_263,2016,SW04,H3,fbom,1,NA,50,0.1488,0.0976
afdm_170,2017,LR00,H1,fbom,2,NA,50,,
afdm_172,2017,LR02,H1,fbom,2,NA,50,,
afdm_174,2017,LR03,H1,fbom,2,NA,50,,
afdm_176,2017,LR04,H1,fbom,2,NA,50,,
afdm_178,2017,LR05,H1,fbom,2,NA,50,,
afdm_180,2017,LR06,H1,fbom,2,NA,50,,
afdm_182,2017,LR07,H1,fbom,2,NA,50,,
afdm_184,2017,LR08,H1,fbom,2,NA,50,,
afdm_194,2017,SW01,H1,fbom,2,NA,50,,
afdm_196,2017,SW02,H1,fbom,2,NA,50,,
afdm_198,2017,SW03,H1,fbom,2,NA,50,,
afdm_200,2017,SW04,H1,fbom,2,NA,50,,
afdm_202,2017,LR00,H2,fbom,2,NA,50,,
afdm_204,2017,LR02,H2,fbom,2,NA,50,,
afdm_206,2017,LR03,H2,fbom,2,NA,50,,
afdm_208,2017,LR04,H2,fbom,2,NA,50,,
afdm_210,2017,LR05,H2,fbom,2,NA,50,,
afdm_212,2017,LR06,H2,fbom,2,NA,50,,
afdm_214,2017,LR07,H2,fbom,2,NA,50,,
afdm_216,2017,LR08,H2,fbom,2,NA,50,,
afdm_226,2017,SW01,H2,fbom,2,NA,50,,
afdm_228,2017,SW02,H2,fbom,2,NA,50,,
afdm_230,2017,SW03,H2,fbom,2,NA,50,,
afdm_232,2017,SW04,H2,fbom,2,NA,50,,
afdm_234,2017,LR00,H3,fbom,2,NA,50,,
afdm_236,2017,LR02,H3,fbom,2,NA,50,,
afdm_238,2017,LR03,H3,fbom,2,NA,50,,
afdm_240,2017,LR04,H3,fbom,2,NA,50,,
afdm_242,2017,LR05,H3,fbom,2,NA,50,,
afdm_244,2017,LR06,H3,fbom,2,NA,50,,
afdm_246,2017,LR07,H3,fbom,2,NA,50,,
afdm_258,2017,SW01,H3,fbom,2,NA,50,,
afdm_260,2017,SW02,H3,fbom,2,NA,50,,
afdm_262,2017,SW03,H3,fbom,2,NA,50,,
afdm_264,2017,SW04,H3,fbom,2,NA,50,,
afdm_341,2016,LR00,H1,seston,1,NA,3500,0.1508,0.1495
afdm_357,2016,LR00,H2,seston,1,NA,4000,0.1408,0.1389
afdm_373,2016,LR00,H3,seston,1,NA,4000,0.1045,0.104
afdm_342,2016,LR02,H1,seston,1,NA,3000,0.1402,0.1379
afdm_358,2016,LR02,H2,seston,1,NA,3000,0.1523,0.151
afdm_374,2016,LR02,H3,seston,1,NA,3000,0.1528,0.1518
afdm_343,2016,LR03,H1,seston,1,NA,2900,0.1349,0.1324
afdm_359,2016,LR03,H2,seston,1,NA,2900,0.1571,0.1557
afdm_375,2016,LR03,H3,seston,1,NA,2900,0.13,0.1289
afdm_344,2016,LR04,H1,seston,1,NA,1400,0.1298,0.1276
afdm_360,2016,LR04,H2,seston,1,NA,1400,0.1366,0.135
afdm_376,2016,LR04,H3,seston,1,NA,1400,0.1471,0.1462
afdm_345,2016,LR05,H1,seston,1,NA,1600,0.1375,0.1351
afdm_361,2016,LR05,H2,seston,1,NA,1600,0.1228,0.1203
afdm_377,2016,LR05,H3,seston,1,NA,1600,0.1168,0.1153
afdm_346,2016,LR06,H1,seston,1,NA,2100,0.1365,0.1332
afdm_362,2016,LR06,H2,seston,1,NA,2100,0.1589,0.156
afdm_378,2016,LR06,H3,seston,1,NA,2200,0.1562,0.1541
afdm_347,2016,LR07,H1,seston,1,NA,2800,0.1365,0.1328
afdm_363,2016,LR07,H2,seston,1,NA,2600,0.1306,0.127
afdm_379,2016,LR07,H3,seston,1,NA,2800,0.1261,0.124
afdm_348,2016,LR08,H1,seston,1,NA,2300,0.1564,0.1526
